Frequency(S) [GHz], S11(dB)
2.000000000000000000e+00,-7.210930821057746076e-01
2.000999927520751953e+00,-7.266823055469886494e-01
2.002000093460083008e+00,-7.319907219363098738e-01
2.003000020980834961e+00,-7.370125196375059140e-01
2.003999948501586914e+00,-7.417392480682523104e-01
2.005000114440917969e+00,-7.461674905216353348e-01
2.006000041961669922e+00,-7.502908792101891100e-01
2.006999969482421875e+00,-7.541085684995258998e-01
2.007999897003173828e+00,-7.576153857321693552e-01
2.009000062942504883e+00,-7.608119452144339601e-01
2.009999990463256836e+00,-7.636978810117456273e-01
2.010999917984008789e+00,-7.662720358287702371e-01
2.012000083923339844e+00,-7.685368154418965592e-01
2.013000011444091797e+00,-7.704953874079436549e-01
2.013999938964843750e+00,-7.721488883717502194e-01
2.015000104904174805e+00,-7.735034239020648350e-01
2.016000032424926758e+00,-7.745627671478204634e-01
2.016999959945678711e+00,-7.753336521661152725e-01
2.017999887466430664e+00,-7.758213750324680635e-01
2.019000053405761719e+00,-7.760350215397421314e-01
2.019999980926513672e+00,-7.759806755164705416e-01
2.020999908447265625e+00,-7.756705046603216136e-01
2.022000074386596680e+00,-7.751092105150748646e-01
2.023000001907348633e+00,-7.743104028789746796e-01
2.023999929428100586e+00,-7.732842474399924670e-01
2.025000095367431641e+00,-7.720411810229514948e-01
2.026000022888183594e+00,-7.705930438075286881e-01
2.026999950408935547e+00,-7.689519758222751467e-01
2.028000116348266602e+00,-7.671325637645755036e-01
2.029000043869018555e+00,-7.651441998041752512e-01
2.029999971389770508e+00,-7.630015068935737110e-01
2.030999898910522461e+00,-7.607183096817986545e-01
2.032000064849853516e+00,-7.583096975499610259e-01
2.032999992370605469e+00,-7.557876159745278155e-01
2.033999919891357422e+00,-7.531669799515711139e-01
2.035000085830688477e+00,-7.504619322790355707e-01
2.036000013351440430e+00,-7.476871049413407189e-01
2.036999940872192383e+00,-7.448549591128656999e-01
2.038000106811523438e+00,-7.419816652778135069e-01
2.039000034332275391e+00,-7.390805926682253446e-01
2.039999961853027344e+00,-7.361661458200412511e-01
2.040999889373779297e+00,-7.332528280959648148e-01
2.042000055313110352e+00,-7.303529830181415550e-01
2.042999982833862305e+00,-7.274802379727733914e-01
2.043999910354614258e+00,-7.246496055924738222e-01
2.045000076293945312e+00,-7.218721278710076295e-01
2.046000003814697266e+00,-7.191612954072494901e-01
2.046999931335449219e+00,-7.165300845709141608e-01
2.048000097274780273e+00,-7.139890378056051867e-01
2.049000024795532227e+00,-7.115515149426697716e-01
2.049999952316284180e+00,-7.092282299406602597e-01
2.051000118255615234e+00,-7.070299320050934533e-01
2.052000045776367188e+00,-7.049665458361337178e-01
2.052999973297119141e+00,-7.030497146189036428e-01
2.053999900817871094e+00,-7.012863671435116686e-01
2.055000066757202148e+00,-6.996866273034638706e-01
2.055999994277954102e+00,-6.982592800970048863e-01
2.056999921798706055e+00,-6.970122604466754135e-01
2.058000087738037109e+00,-6.959516462178406693e-01
2.059000015258789062e+00,-6.950859969499882940e-01
2.059999942779541016e+00,-6.944205734186341683e-01
2.061000108718872070e+00,-6.939623352244084220e-01
2.062000036239624023e+00,-6.937142582890807319e-01
2.062999963760375977e+00,-6.936830742274607831e-01
2.063999891281127930e+00,-6.938717805522548465e-01
2.065000057220458984e+00,-6.942836778048067092e-01
2.065999984741210938e+00,-6.949226796980091381e-01
2.066999912261962891e+00,-6.957907948992453351e-01
2.068000078201293945e+00,-6.968883283911933013e-01
2.069000005722045898e+00,-6.982186426132093171e-01
2.069999933242797852e+00,-6.997813466137937644e-01
2.071000099182128906e+00,-7.015759306852986654e-01
2.072000026702880859e+00,-7.036036456517333892e-01
2.072999954223632812e+00,-7.058616642731107005e-01
2.073999881744384766e+00,-7.083498960846628112e-01
2.075000047683715820e+00,-7.110657359568037794e-01
2.075999975204467773e+00,-7.140065648240421226e-01
2.076999902725219727e+00,-7.171694792362617310e-01
2.078000068664550781e+00,-7.205500397969272219e-01
2.078999996185302734e+00,-7.241467708389273117e-01
2.079999923706054688e+00,-7.279535504631389209e-01
2.081000089645385742e+00,-7.319651968624146798e-01
2.082000017166137695e+00,-7.361774463512040789e-01
2.082999944686889648e+00,-7.405826045355841103e-01
2.084000110626220703e+00,-7.451758310395451002e-01
2.085000038146972656e+00,-7.499508222839595950e-01
2.085999965667724609e+00,-7.549013687535265360e-01
2.086999893188476562e+00,-7.600197434263391560e-01
2.088000059127807617e+00,-7.652970952321970222e-01
2.088999986648559570e+00,-7.707277974020145805e-01
2.089999914169311523e+00,-7.763023145695731042e-01
2.091000080108642578e+00,-7.820130985477747876e-01
2.092000007629394531e+00,-7.878522933621462387e-01
2.092999935150146484e+00,-7.938080188682005156e-01
2.094000101089477539e+00,-7.998755983577316986e-01
2.095000028610229492e+00,-8.060431239381145030e-01
2.095999956130981445e+00,-8.123019470262270447e-01
2.096999883651733398e+00,-8.186424510901219032e-01
2.098000049591064453e+00,-8.250567038088580940e-01
2.098999977111816406e+00,-8.315338838966130908e-01
2.099999904632568359e+00,-8.380635806104846930e-01
2.101000070571899414e+00,-8.446394873757946398e-01
2.101999998092651367e+00,-8.512490329143757029e-01
2.102999925613403320e+00,-8.578837707779183308e-01
2.104000091552734375e+00,-8.645339597365659934e-01
2.105000019073486328e+00,-8.711916069771250548e-01
2.105999946594238281e+00,-8.778466096282820930e-01
2.107000112533569336e+00,-8.844902201752165016e-01
2.108000040054321289e+00,-8.911122243230817919e-01
2.108999967575073242e+00,-8.977054822916540333e-01
2.109999895095825195e+00,-9.042611643249026665e-01
2.111000061035156250e+00,-9.107711497991431981e-01
2.111999988555908203e+00,-9.172267441646166919e-01
2.112999916076660156e+00,-9.236202154657684460e-01
